present_lon,present_lat,age (Ma),subducted_carbonates_volume (m),carbonate_thickness (m),convergence_obliquity (degrees),convergence_rate (cm/yr),convergence_rate_parallel (cm/yr),crustal_thickness_mean (m),Prospectivity Score,deposit,mineralization_age
-109.61295020914577,32.93490756697273,27,23.969814,0.0,6.0593822035862654,12.392047232633743,1.308093902289701,45526.5078125,0.23797923,Safford,48.0
-109.76974591227936,32.881587626870655,28,22.603807,10.199716,4.870934921834731,12.3015077233573,1.0445392863186451,45388.8828125,0.10678701,Safford,48.0
-109.437421234712,32.862086182273,29,33.430637,11.549268,5.471740338127426,12.294049546494916,1.1722964813182244,44661.75,0.15227814,Safford,48.0
-109.5940672005221,32.81052472057532,30,75.03575,0.0,5.809500751478107,11.785213549723398,1.192914239234511,44766.9765625,0.0034820822,Safford,48.0
-109.69495068334464,32.7626319899926,32,85.88128,45.289864,5.402586629085427,12.183239169296805,1.1470916615220033,44438.3671875,0.020887502,Safford,48.0
-109.50177503246044,32.75898856900781,33,63.663578,0.0,10.413748890332784,17.91340623298798,3.2379406314627444,46740.0,0.26546463,Safford,48.0
-109.70882181193907,32.78326958389817,35,213.96014,75.616974,10.678073035359198,18.58101806386661,3.442887207378773,45763.2109375,0.07347108,Safford,48.0
-109.57235397096804,32.81806604018601,36,219.82436,0.0,0.9010582994093176,13.760304510703682,0.2163916018231015,45346.41796875,0.051976677,Safford,48.0
-109.43615918789736,32.85458613271697,37,541.7803,153.8668,-0.7057900222181234,13.662625904808642,-0.1682968841935267,44135.4375,0.016713226,Safford,48.0
-109.7882660698556,32.85064281191547,38,274.19058,182.3412,-0.8700421228230808,13.569418011478144,-0.2060450462533866,44862.0390625,0.103017904,Safford,48.0
-109.65269541096214,32.88973041156822,39,58.932423,0.0,-1.036822675949712,13.504881237940118,-0.2443705807618909,44356.34765625,0.33728614,Safford,48.0
-109.5173788838364,32.93057645331395,40,258.48904,116.478516,-11.495281917248551,9.609927804792385,-1.9151359963581704,43335.3984375,0.008317965,Safford,48.0
-109.77641453393537,32.86951008373687,41,186.92693,126.61563,-13.754584763338714,9.067389737834924,-2.155895386217925,43834.3828125,0.03923297,Safford,48.0
-109.5474642628248,32.848856493584215,42,128.35664,0.0,-13.891656242881744,9.01462899174596,-2.164292331090816,43296.21484375,0.0008230529,Safford,48.0
