locality,age_ma,lat,lon,paleolat_hinsbergen2015,environment
"Uglegorsk-Chekhov area, Sakhalin",37.0,49.01,142.15,49.01,Shallow shelf
"Moroshechnaya river, Kamchatka",37.0,57.793,157.503,57.793,Shallow shelf
"Il’pinskii Peninsula, Kamchatka",37.0,59.966,164.933,59.966,Shallow shelf
"Volchya river, Sakhalin",37.0,48.848316,142.1716,48.848316,Shallow shelf
"Avgustovka river, Sakhalin",37.0,49.666607,142.207018,49.666607,Shallow shelf
"Shebunenka river, Sakhalin",37.0,46.419218,142.005889,46.419218,Shallow shelf
"Kazachka river, Sakhalin",37.0,46.640023,141.999914,46.640023,Shallow shelf
"Tochilinsky section, Western Kamchatka",39.0,58.35,159.0,58.35,Shallow shelf
"Arrheniusfjellet, Spitsbergen",40.0,77.41,16.45,70.67,Shallow shelf
"Uglegorka river, Sakhalin",40.0,48.935817,142.210604,48.935817,Shallow shelf
"Avgustovka river, Sakhalin",40.0,49.65569,142.176123,49.65569,Shallow shelf
"Parusnaya river, Sakhalin",40.0,48.342624,142.26037,48.342624,Shallow shelf
"Aralskaya river, Sakhalin",40.0,48.991606,142.375777,48.991606,Shallow shelf
"Kalinka river, Sakhalin",40.0,47.652916,142.177088,47.652916,Shallow shelf
"Avgustovka river, Sakhalin",40.0,49.669894,142.194658,49.669894,Shallow shelf
"Utasu river, Sakhalin",40.0,48.342624,142.26037,48.342624,Shallow shelf
"Belinskaya river, Sakhalin",40.0,48.264508,142.211228,48.264508,Shallow shelf
"Belokamennaya river, Sakhalin",40.0,46.61,143.01,46.61,Shallow shelf
"Tamarinka river, Sakhalin",40.0,47.697018,142.204944,47.697018,Shallow shelf
"Mikasa area, Central Hokkaido, Japan",41.0,43.25,141.91,43.25,Shallow shelf
"Tochilinsky section, Western Kamchatka",41.0,58.35,159.0,58.35,Shallow shelf
"Horonai river, Central Hokkaido, Japan",41.0,43.22883,141.8934,43.22883,Shallow shelf
"Ikusyumbetsu river, Central Hokkaido, Japan",41.0,43.25928,141.93149,43.25928,Shallow shelf
"Utasu river, Sakhalin",41.0,48.342624,142.26037,48.342624,Shallow shelf
"Borovaya river, Sakhalin",41.0,48.286107,142.266713,48.286107,Shallow shelf
"Avgustovka river, Sakhalin",41.0,49.668557,142.197405,49.668557,Shallow shelf
"Belinskaya river, Sakhalin",41.0,48.264508,142.211228,48.264508,Shallow shelf
"Pravda river, Sakhalin",41.0,46.938487,142.009818,46.938487,Shallow shelf
"Pyatibratka river, Western Kamchatka, Russia",45.0,58.946,159.76,58.946,Shallow shelf
Cape Kakhtana ,45.0,58.826437,159.633841,58.826437,Shallow shelf
"Utkholoksky Cape, Kamchatka",45.0,57.8519,157.0079,57.8519,Shallow shelf
"Olympic Mountains, USA",45.0,47.2468,-123.8417,47.2468,Shallow shelf
"Storvola, Spitsbergen",45.0,77.518,16.242,68.5,Shallow shelf
Cape Kakhtana ,45.0,58.826437,159.633841,58.826437,Shallow shelf
"Bendefjellet, Spitsbergen",52.0,77.205,16.581,66.81,Shallow shelf
"Hedgehogfjellet, Spitsbergen",52.0,76.96,17.252,66.61,Shallow shelf
"Fur Island, Denmark",54.0,56.83,8.97,46.08,Shallow shelf
"Mors Island, Denmark",54.0,56.89,8.76,46.12,Shallow shelf
"Lynghøj pit, Mors Island, Denmark",54.0,56.944623,8.872871,46.19,Shallow shelf
"Ejerslev pit, Mors Island, Denmark",54.0,56.926183,8.910722,46.17,Shallow shelf
"Knudeklint coast, Fur Island, Denmark",54.0,56.839488,8.980527,46.09,Shallow shelf
"IODP 396 exp., hole U1567C ",54.0,65.36308,3.053655,54.3,Shelf
"IODP 396 exp., hole U1569A ",54.0,65.831292,2.026802,54.73,Shelf
"IODP 396 exp., hole U1570A ",54.0,65.831502,1.993708,54.73,Shelf
"Zachariassendalen, Spitsbergen",57.0,78.079,14.252,67.07,Shallow shelf
