lat,lon,sample_name,TOAGE,FROMAGE,OnlyCooling,TempDiff
-15.082297,34.722828,LITH01212018-ZO0625,15.0,20.0,0.8333333333333357,0.16666666666666713
-15.082297,34.722828,LITH01212018-ZO0625,20.0,25.0,0.8333333333333321,0.16666666666666644
-15.082297,34.722828,LITH01212018-ZO0625,25.0,30.0,0.8333333333333321,0.16666666666666644
-15.082297,34.722828,LITH01212018-ZO0625,30.0,35.0,0.8333333333333321,0.16666666666666644
-15.082297,34.722828,LITH01212018-ZO0625,35.0,40.0,0.8333333333333357,0.16666666666666713
-15.082297,34.722828,LITH01212018-ZO0625,40.0,45.0,1.5217391304347814,0.30434782608695626
-15.082297,34.722828,LITH01212018-ZO0625,45.0,50.0,1.5217391304347814,0.30434782608695626
-15.082297,34.722828,LITH01212018-ZO0625,50.0,55.0,1.5217391304347814,0.30434782608695626
-15.082297,34.722828,LITH01212018-ZO0625,55.0,60.0,1.5217391304347885,0.3043478260869577
-15.082297,34.722828,LITH01212018-ZO0625,60.0,65.0,2.5797101449275317,0.5159420289855063
-15.082297,34.722828,LITH01212018-ZO0625,65.0,70.0,4.166666666666671,0.8333333333333343
-15.082297,34.722828,LITH01212018-ZO0625,70.0,75.0,4.166666666666664,0.8333333333333328
-15.082297,34.722828,LITH01212018-ZO0625,75.0,80.0,6.666666666666664,1.3333333333333328
-15.082297,34.722828,LITH01212018-ZO0625,80.0,85.0,6.666666666666664,1.3333333333333328
-15.082297,34.722828,LITH01212018-ZO0625,85.0,90.0,6.666666666666671,1.3333333333333344
-15.082297,34.722828,LITH01212018-ZO0625,90.0,95.0,6.666666666666657,1.3333333333333315
-15.082297,34.722828,LITH01212018-ZO0625,95.0,100.0,6.666666666666671,1.3333333333333344
-15.082297,34.722828,LITH01212018-ZO0625,100.0,105.0,6.666666666666671,1.3333333333333344
-15.082297,34.722828,LITH01212018-ZO0625,105.0,110.0,6.666666666666657,1.3333333333333315
-15.082297,34.722828,LITH01212018-ZO0625,110.0,115.0,4.895833333333343,0.9791666666666685
-15.082297,34.722828,LITH01212018-ZO0625,115.0,120.0,-2.1875,-0.4375
-15.082297,34.722828,LITH01212018-ZO0625,120.0,125.0,-2.1875,-0.4375
-15.082297,34.722828,LITH01212018-ZO0625,125.0,130.0,-2.1875,-0.4375
-15.082297,34.722828,LITH01212018-ZO0625,130.0,135.0,-2.1875,-0.4375
-15.082297,34.722828,LITH01212018-ZO0625,135.0,140.0,-2.1875,-0.4375
-15.082297,34.722828,LITH01212018-ZO0625,140.0,145.0,-2.1875,-0.4375
-15.289637,34.874405,LITH01212018-ZO0330,0.0,5.0,2.75,0.55
-15.289637,34.874405,LITH01212018-ZO0330,5.0,10.0,2.75,0.55
-15.289637,34.874405,LITH01212018-ZO0330,10.0,15.0,2.75,0.55
-15.289637,34.874405,LITH01212018-ZO0330,15.0,20.0,2.75,0.55
-15.289637,34.874405,LITH01212018-ZO0330,20.0,25.0,2.75,0.55
-15.289637,34.874405,LITH01212018-ZO0330,25.0,30.0,2.75,0.55
-15.289637,34.874405,LITH01212018-ZO0330,30.0,35.0,2.75,0.55
-15.289637,34.874405,LITH01212018-ZO0330,35.0,40.0,2.75,0.55
-15.289637,34.874405,LITH01212018-ZO0330,40.0,45.0,2.75,0.55
-15.289637,34.874405,LITH01212018-ZO0330,45.0,50.0,2.75,0.55
-15.289637,34.874405,LITH01212018-ZO0330,50.0,55.0,2.75,0.55
-15.289637,34.874405,LITH01212018-ZO0330,55.0,60.0,2.75,0.55
-15.289637,34.874405,LITH01212018-ZO0330,60.0,65.0,2.75,0.55
-15.289637,34.874405,LITH01212018-ZO0330,65.0,70.0,2.75,0.55
-15.289637,34.874405,LITH01212018-ZO0330,70.0,75.0,2.75,0.55
-15.289637,34.874405,LITH01212018-ZO0330,75.0,80.0,2.75,0.55
-15.289637,34.874405,LITH01212018-ZO0330,80.0,85.0,2.465753424657535,0.49315068493150704
-15.289637,34.874405,LITH01212018-ZO0330,85.0,90.0,2.465753424657535,0.49315068493150704
-15.289637,34.874405,LITH01212018-ZO0330,90.0,95.0,2.465753424657535,0.49315068493150704
-15.289637,34.874405,LITH01212018-ZO0330,95.0,100.0,2.465753424657535,0.49315068493150704
-15.289637,34.874405,LITH01212018-ZO0330,100.0,105.0,2.465753424657535,0.49315068493150704
-15.289637,34.874405,LITH01212018-ZO0330,105.0,110.0,2.465753424657535,0.49315068493150704
-15.289637,34.874405,LITH01212018-ZO0330,110.0,115.0,2.465753424657521,0.4931506849315042
-15.289637,34.874405,LITH01212018-ZO0330,115.0,120.0,2.4657534246575494,0.4931506849315099
-15.289637,34.874405,LITH01212018-ZO0330,120.0,125.0,2.465753424657521,0.4931506849315042
-15.289637,34.874405,LITH01212018-ZO0330,125.0,130.0,2.465753424657535,0.49315068493150704
-15.289637,34.874405,LITH01212018-ZO0330,130.0,135.0,2.465753424657535,0.49315068493150704
-15.289637,34.874405,LITH01212018-ZO0330,135.0,140.0,2.465753424657535,0.49315068493150704
-15.289637,34.874405,LITH01212018-ZO0330,140.0,145.0,2.465753424657535,0.49315068493150704
-15.289637,34.874405,LITH01212018-ZO0330,145.0,150.0,2.465753424657535,0.49315068493150704
-15.289637,34.874405,LITH01212018-ZO0330,150.0,155.0,1.6612702366127081,0.3322540473225416
-15.289637,34.874405,LITH01212018-ZO0330,155.0,160.0,0.45454545454545325,0.09090909090909065
-15.293045,34.86574,LITH01212018-ZO0323,0.0,5.0,3.125,0.625
-15.293045,34.86574,LITH01212018-ZO0323,5.0,10.0,3.125,0.625
-15.293045,34.86574,LITH01212018-ZO0323,10.0,15.0,3.125,0.625
-15.293045,34.86574,LITH01212018-ZO0323,15.0,20.0,2.6856060606060623,0.5371212121212124
-15.293045,34.86574,LITH01212018-ZO0323,20.0,25.0,2.575757575757578,0.5151515151515156
-15.293045,34.86574,LITH01212018-ZO0323,25.0,30.0,2.575757575757571,0.5151515151515141
-15.293045,34.86574,LITH01212018-ZO0323,30.0,35.0,2.575757575757578,0.5151515151515156
-15.293045,34.86574,LITH01212018-ZO0323,35.0,40.0,2.575757575757571,0.5151515151515141
-15.293045,34.86574,LITH01212018-ZO0323,40.0,45.0,2.575757575757578,0.5151515151515156
-15.293045,34.86574,LITH01212018-ZO0323,45.0,50.0,3.0606060606060623,0.6121212121212125
-10.177278,33.705235,LITH01212018-NY6684,0.0,5.0,9.82142857142857,1.964285714285714
